교과목 명,학년,학기,시스템 최적화,생산 및 물류,품질 및 응용 통계,IT융합,인간 및 시스템,시스템 경영,기술경영
대학생활세미나,1,1,,,,,,,
문제해결과알고리즘,1,1,,,,,,,
소비자선택분석,1,1,,,,,,,○
산업공학입문,1,1,○,○,○,○,○,○,○
공학설계입문,1,2,,,,,,,
공학수학,1,2,,,,,,,
산업공학사례연구,1,2,○,○,○,○,○,○,○
프로그래밍기초,1,2,,,,◎,,,○
C프로그래밍응용,2,1,,,,○,,,
경제성공학,2,1,○,,○,,○,◎,○
산업공학특강,2,1,,,,,,,
작업시스템공학,2,1,○,○,,,○,○,
제조공학,2,1,,○,,,,,
행렬과선형대수,2,1,,,○,○,,,○
확률통계,2,1,○,,◎,○,,○,○
객체지향프로그래밍,2,2,,,,◎,,,
경영과학1,2,2,◎,,,,,○,○
기술경영,2,2,,,,○,,◎,○
데이터베이스설계,2,2,,,,○,,,
데이터분석과응용,2,2,,,◎,,,,○
시스템분석과설계,2,2,,,,◎,,,
휴먼인터페이스공학,2,2,,,,○,◎,,○
경영과학2,3,1,◎,,○,,,○,○
데이터마이닝,3,1,,,◎,○,,,
디자인공학,3,1,,,,○,◎,,
생산관리1,3,1,○,◎,,,,○,
실험계획법,3,1,○,,◎,,,,○
지식공학,3,1,,,○,◎,,◎,
창의적문제해결과창업,3,1,,,,,,◎,
품질관리,3,1,○,,◎,,,○,
산업공학SW활용,3,2,○,○,○,◎,,○,
생산관리2,3,2,○,◎,,,,○,
시스템공학특강,3,2,○,,,,○,○,
인간공학,3,2,,,,,◎,○,
인공지능과응용,3,2,,,,◎,,,
재무경영분석,3,2,,,,,,◎,○
품질공학,3,2,○,,◎,,,○,
산업공학종합설계(캡스톤디자인),4,0,○,○,○,○,○,○,○
기계학습,4,1,,,,◎,○,,
복합시스템공학,4,1,,,,○,○,○,
서비스공학,4,1,,○,,,,◎,
시뮬레이션과S/W실습,4,1,○,,○,○,,,
시스템최적화,4,1,,,,,,,
신뢰성분석과설계,4,1,○,,○,,,,
마케팅과기술혁신전략,4,2,,,,,,◎,○
산업시스템사례연구,4,2,○,,,,○,○,○
시스템안전공학,4,2,,,,,◎,○,
제품개발공학,4,2,,○,,,○,○,
프로젝트관리,4,2,,○,,○,,◎,○
